                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94875,                0.84191,                      1,                0.95468,             0.00023702,             0.00023702,             0.00023702
                      2,                0.46176,                0.88419,                      1,                0.87233,             0.00046561,             0.00046561,             0.00046561
                      3,                0.38886,                0.88787,                      1,                 0.8704,             0.00068478,             0.00068478,             0.00068478
                      4,                0.30816,                0.92831,                      1,                0.84432,             0.00067159,             0.00067159,             0.00067159
                      5,                0.27278,                0.91544,                      1,                0.84412,             0.00065745,             0.00065745,             0.00065745
                      6,                 0.2705,                0.93934,                      1,                 0.8183,             0.00064331,             0.00064331,             0.00064331
                      7,                0.23879,                0.92463,                      1,                0.82206,             0.00062918,             0.00062918,             0.00062918
                      8,                0.19146,                0.94485,                      1,                0.81747,             0.00061504,             0.00061504,             0.00061504
                      9,                0.17784,                0.94485,                      1,                0.81468,              0.0006009,              0.0006009,              0.0006009
                     10,                0.17693,                0.95404,                      1,                0.80357,             0.00058677,             0.00058677,             0.00058677
                     11,                0.16116,                0.94853,                      1,                0.81293,             0.00057263,             0.00057263,             0.00057263
                     12,                0.15318,                0.95037,                      1,                0.79851,             0.00055849,             0.00055849,             0.00055849
                     13,                0.14485,                 0.9614,                      1,                0.79159,             0.00054435,             0.00054435,             0.00054435
                     14,                0.13158,                0.95956,                      1,                0.79521,             0.00053022,             0.00053022,             0.00053022
                     15,                0.13759,                0.96507,                      1,                0.79084,             0.00051608,             0.00051608,             0.00051608
                     16,                0.10764,                0.97794,                      1,                0.77823,             0.00050194,             0.00050194,             0.00050194
                     17,                0.11745,                 0.9761,                      1,                0.77283,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.1143,                0.96875,                      1,                0.78134,             0.00047367,             0.00047367,             0.00047367
                     19,                0.12201,                0.96507,                      1,                0.78383,             0.00045953,             0.00045953,             0.00045953
                     20,                0.10972,                 0.9614,                      1,                0.78277,             0.00044539,             0.00044539,             0.00044539
                     21,                0.09654,                0.96507,                      1,                0.77938,             0.00043126,             0.00043126,             0.00043126
                     22,                0.09569,                 0.9614,                      1,                0.78315,             0.00041712,             0.00041712,             0.00041712
                     23,                0.09169,                 0.9761,                      1,                0.77637,             0.00040298,             0.00040298,             0.00040298
                     24,                0.10209,                0.97059,                      1,                0.78134,             0.00038884,             0.00038884,             0.00038884
                     25,                0.08923,                0.97426,                      1,                0.77255,             0.00037471,             0.00037471,             0.00037471
                     26,                0.08929,                0.97243,                      1,                0.77743,             0.00036057,             0.00036057,             0.00036057
                     27,                0.08287,                0.96875,                      1,                0.77709,             0.00034643,             0.00034643,             0.00034643
                     28,                0.08274,                0.96324,                      1,                0.78346,              0.0003323,              0.0003323,              0.0003323
                     29,                0.06511,                0.96875,                      1,                0.77775,             0.00031816,             0.00031816,             0.00031816
                     30,                0.07501,                0.97426,                      1,                0.77384,             0.00030402,             0.00030402,             0.00030402
                     31,                0.07575,                0.97426,                      1,                0.77258,             0.00028988,             0.00028988,             0.00028988
                     32,                0.07314,                0.97426,                      1,                 0.7749,             0.00027575,             0.00027575,             0.00027575
                     33,                0.07728,                 0.9761,                      1,                0.77212,             0.00026161,             0.00026161,             0.00026161
                     34,                0.07238,                0.97978,                      1,                0.76927,             0.00024747,             0.00024747,             0.00024747
                     35,                 0.0724,                0.97978,                      1,                0.76947,             0.00023334,             0.00023334,             0.00023334
                     36,                0.05934,                0.97794,                      1,                 0.7726,              0.0002192,              0.0002192,              0.0002192
                     37,                0.07022,                0.97794,                      1,                0.77197,             0.00020506,             0.00020506,             0.00020506
                     38,                0.06488,                 0.9761,                      1,                0.77571,             0.00019092,             0.00019092,             0.00019092
                     39,                  0.053,                0.97794,                      1,                0.77077,             0.00017679,             0.00017679,             0.00017679
                     40,                 0.0549,                0.97794,                      1,                0.76933,             0.00016265,             0.00016265,             0.00016265
